,window_size,model_type,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_rmse_mean,right_rmse_mean
0,120,cnn,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
1,80,cnn,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,13.96971495670788,13.821491574179031
2,100,cnn,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,20.853860755718017,20.820712205544318
3,120,cnn,30,2,relu,5,relu,"(2, 30)",mean_absolute_error,0.001,sgd,200,128,17.49615151526984,17.408541816461856
4,80,cnn,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.770897935113094,21.364375290330212
5,80,cnn,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,8.5314639105154,8.445253751200546
6,100,cnn,30,3,relu,5,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
7,80,cnn,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.937340125247218,17.631975853057696
8,100,cnn,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.2379015649294,17.333082130093494
9,100,cnn,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.574762063383908,25.95110029035167
10,100,cnn,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,21.059278090835722,20.92263709791427
11,80,cnn,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,25.710454393293524,26.981172596823814
12,100,cnn,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.351047127653175,17.484708030069292
13,100,cnn,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,7.431370823619227,7.567243921411692
14,100,cnn,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.336316114193465,21.499216024902914
15,120,cnn,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,7.031306243578276,7.085946931356799
16,80,cnn,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
17,80,cnn,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,9.23276897701185,10.028359211416092
18,120,cnn,10,2,sigmoid,5,tanh,"(0, 1)",mean_absolute_error,0.1,sgd,200,128,7.288350973554235,7.37592880028505
19,100,cnn,10,3,tanh,5,relu,"(1, 20)",mean_absolute_error,0.001,adagrad,200,128,17.34282785374454,17.550679407533785
20,80,cnn,30,2,tanh,1,sigmoid,"(1, 30)",mean_absolute_error,0.01,sgd,200,128,21.725085636515338,21.296090554331364
21,80,cnn,20,4,sigmoid,1,relu,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,18.156954440865192,17.94661582367818
22,80,cnn,30,4,tanh,5,sigmoid,"(0, 1)",mean_absolute_error,0.001,adagrad,200,128,21.408901765437818,21.795954507846165
23,100,cnn,20,4,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.1,rmsprop,200,128,26.7169266315274,26.562315521003217
24,100,cnn,30,3,sigmoid,3,sigmoid,"(2, 20)",mean_absolute_error,0.0001,adam,200,128,20.72853592648195,20.962784690510087
25,100,cnn,10,4,relu,3,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.79588933216679,20.764747797207313
26,100,cnn,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.1,adagrad,200,128,7.28509537726687,7.353074787446955
27,80,cnn,10,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.001,rmsprop,200,128,21.54842893774721,21.70789484537966
28,120,cnn,20,3,tanh,3,sigmoid,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,21.735223650211143,21.566936550172784
29,120,cnn,10,4,tanh,1,sigmoid,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.644701318594095,25.681936072978214
30,120,cnn,20,2,relu,1,tanh,"(2, 20)",mean_absolute_error,0.0001,sgd,200,128,7.924198334306226,8.03721150804253
