,test_subject,window_size,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_validation_rmse,right_validation_rmse
0,AB1,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
1,AB2,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
2,AB3,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
3,AB4,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
4,AB5,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
5,AB6,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
6,AB7,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
7,AB8,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
8,AB9,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
9,AB10,120,30,3,sigmoid,1,relu,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
10,AB1,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,9.359462710605262,9.401549219017689
11,AB2,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,10.074708513476706,9.851023273948698
12,AB3,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,28.39211607231308,28.815340393708677
13,AB4,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,9.869784975453797,9.547491029704005
14,AB5,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,12.137907358006698,11.541231479767895
15,AB6,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,9.202862767435109,8.428445321253083
16,AB7,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,11.493982698207232,11.083179557941298
17,AB8,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,24.03139558087597,23.43235471302319
18,AB9,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,14.13708348656744,14.488313360874265
19,AB10,80,10,3,sigmoid,1,tanh,"(1, 20)",mean_absolute_error,0.01,adam,200,128,10.99784540413752,11.625987392551522
20,AB1,100,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,20.5527921317129,20.24045460824716
21,AB2,100,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,21.273933782213025,20.784381104083064
22,AB3,100,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,21.04409801396646,20.829446225029386
23,AB4,100,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,20.591418901369263,20.49006319798474
24,AB5,100,30,3,tanh,3,sigmoid,"(2, 30)",mean_absolute_error,0.01,sgd,200,128,20.853955319369557,20.958588467383493
